"team","season","name","team.1","position","situation","games_played","xGoalsPercentage","corsiPercentage","fenwickPercentage","iceTime","xOnGoalFor","xGoalsFor","xReboundsFor","xFreezeFor","xPlayStoppedFor","xPlayContinuedInZoneFor","xPlayContinuedOutsideZoneFor","flurryAdjustedxGoalsFor","scoreVenueAdjustedxGoalsFor","flurryScoreVenueAdjustedxGoalsFor","shotsOnGoalFor","missedShotsFor","blockedShotAttemptsFor","shotAttemptsFor","goalsFor","reboundsFor","reboundGoalsFor","freezeFor","playStoppedFor","playContinuedInZoneFor","playContinuedOutsideZoneFor","savedShotsOnGoalFor","savedUnblockedShotAttemptsFor","penaltiesFor","penalityMinutesFor","faceOffsWonFor","hitsFor","takeawaysFor","giveawaysFor","lowDangerShotsFor","mediumDangerShotsFor","highDangerShotsFor","lowDangerxGoalsFor","mediumDangerxGoalsFor","highDangerxGoalsFor","lowDangerGoalsFor","mediumDangerGoalsFor","highDangerGoalsFor","scoreAdjustedShotsAttemptsFor","unblockedShotAttemptsFor","scoreAdjustedUnblockedShotAttemptsFor","dZoneGiveawaysFor","xGoalsFromxReboundsOfShotsFor","xGoalsFromActualReboundsOfShotsFor","reboundxGoalsFor","totalShotCreditFor","scoreAdjustedTotalShotCreditFor","scoreFlurryAdjustedTotalShotCreditFor","xOnGoalAgainst","xGoalsAgainst","xReboundsAgainst","xFreezeAgainst","xPlayStoppedAgainst","xPlayContinuedInZoneAgainst","xPlayContinuedOutsideZoneAgainst","flurryAdjustedxGoalsAgainst","scoreVenueAdjustedxGoalsAgainst","flurryScoreVenueAdjustedxGoalsAgainst","shotsOnGoalAgainst","missedShotsAgainst","blockedShotAttemptsAgainst","shotAttemptsAgainst","goalsAgainst","reboundsAgainst","reboundGoalsAgainst","freezeAgainst","playStoppedAgainst","playContinuedInZoneAgainst","playContinuedOutsideZoneAgainst","savedShotsOnGoalAgainst","savedUnblockedShotAttemptsAgainst","penaltiesAgainst","penalityMinutesAgainst","faceOffsWonAgainst","hitsAgainst","takeawaysAgainst","giveawaysAgainst","lowDangerShotsAgainst","mediumDangerShotsAgainst","highDangerShotsAgainst","lowDangerxGoalsAgainst","mediumDangerxGoalsAgainst","highDangerxGoalsAgainst","lowDangerGoalsAgainst","mediumDangerGoalsAgainst","highDangerGoalsAgainst","scoreAdjustedShotsAttemptsAgainst","unblockedShotAttemptsAgainst","scoreAdjustedUnblockedShotAttemptsAgainst","dZoneGiveawaysAgainst","xGoalsFromxReboundsOfShotsAgainst","xGoalsFromActualReboundsOfShotsAgainst","reboundxGoalsAgainst","totalShotCreditAgainst","scoreAdjustedTotalShotCreditAgainst","scoreFlurryAdjustedTotalShotCreditAgainst"
"CGY",2024,"CGY","CGY","Team Level","other",53,0.5,0.51,0.51,7813,114.52,29.5,8.03,20.22,3.82,59.99,38.44,26.72,29.5,26.72,104,56,68,228,26,3,0,19,1,60,51,78,134,4,8,89,22,13,29,87,29,44,3.17,3.44,22.88,3,3,20,228,160,160,11,2.32,0.54,0.73,31.09,31.09,28.27,114.79,29.2,7.73,19.44,3.71,56.65,38.27,27.38,29.2,27.38,101,54,60,215,28,12,3,16,1,56,42,73,127,4,8,106,20,15,25,75,36,44,2.69,4.87,21.64,7,4,17,215,155,155,8,2.29,3.74,3.74,27.76,27.76,26.74
"CGY",2024,"CGY","CGY","Team Level","all",53,0.49,0.51,0.51,193230,1681.07,160.15,109.65,423.17,58.14,919.36,664.54,151.68,159.98,151.53,1550,785,1014,3349,141,151,14,354,7,750,932,1409,2194,207,489,1518,1173,301,832,1785,363,187,48.16,45.21,66.78,52,36,53,3320.8,2335,2325.01,385,24.47,30.45,30.45,154.18,153.84,147.95,1639.68,166.4,108.82,399.67,55.38,879.78,643.01,159.37,167.74,160.69,1545,709,923,3177,157,159,16,369,9,713,847,1388,2097,204,473,1778,1078,306,858,1647,427,180,46.06,54.17,66.18,51,60,46,3212.68,2254,2275.25,406,24.46,34.94,34.94,155.86,157.1,153.58
"CGY",2024,"CGY","CGY","Team Level","5on5",53,0.49,0.51,0.51,157194,1322.54,99.55,81.81,350.31,45.96,726.15,537.22,96.36,99.39,96.21,1203,638,830,2671,84,117,9,291,4,592,753,1119,1757,187,447,1183,1090,255,734,1460,280,101,38.04,34.62,26.89,43,24,17,2642.8,1841,1831.01,352,16.93,22.35,22.35,94.13,93.8,92.35,1276.24,105.03,79.72,326.76,42.9,689.36,519.3,101.95,106.37,103.26,1201,563,758,2522,86,117,10,305,7,556,693,1115,1678,184,431,1385,1014,252,765,1359,308,97,37.59,39.23,28.22,38,38,10,2557.68,1764,1785.25,381,16.55,25.51,25.51,96.01,97.26,95.93
"CGY",2024,"CGY","CGY","Team Level","4on5",53,0.08,0.13,0.14,13864,35.59,2.69,1.73,5.2,1.13,11.72,25.53,2.66,2.69,2.66,41,7,13,61,4,1,0,4,0,3,36,37,44,8,16,118,45,15,20,36,12,0,1.01,1.68,0,0,4,0,61,48,48,16,0.39,0.16,0.16,2.92,2.92,2.89,219.61,29.23,20.03,49.51,7.89,125.43,65.91,27.21,29.23,27.21,210,88,100,398,37,29,2,46,1,95,90,173,261,6,12,158,8,16,50,190,72,36,5.16,8.61,15.46,5,14,18,398,298,298,3,5.31,5.35,5.35,29.18,29.18,28.08
"CGY",2024,"CGY","CGY","Team Level","5on4",53,0.91,0.9,0.89,14359,208.42,28.41,18.08,47.44,7.22,121.5,63.35,25.94,28.41,25.94,202,84,103,389,27,30,5,40,2,95,92,175,259,8,18,128,16,18,49,202,42,42,5.94,5.46,16.99,6,5,16,389,286,286,6,4.83,7.39,7.21,26.03,26.03,24.45,29.04,2.93,1.34,3.96,0.88,8.34,19.54,2.83,2.93,2.83,33,4,5,42,6,1,1,2,0,6,22,27,31,10,22,129,36,23,18,23,11,3,0.61,1.46,0.86,1,4,1,42,37,37,14,0.31,0.34,0.34,2.9,2.9,2.82
"WPG",2024,"WPG","WPG","Team Level","other",55,0.51,0.48,0.5,6602,87.12,22.59,5.88,15.54,2.89,47.82,28.36,21.56,22.59,21.56,85,39,35,159,35,5,2,10,0,36,38,50,89,1,2,80,21,4,18,68,25,31,2.51,3.11,16.97,4,8,23,159,124,124,15,1.72,1.34,1.34,22.91,22.91,22.04,89.22,21.38,6.38,16.39,2.93,46.04,28.88,19.68,21.38,19.68,85,37,49,171,21,12,2,11,0,47,31,64,101,3,6,65,22,9,12,67,23,32,2.57,2.91,15.9,3,2,16,171,122,122,5,1.82,3.65,3.65,19.54,19.54,18.41
"WPG",2024,"WPG","WPG","Team Level","all",55,0.52,0.49,0.5,199063,1705.09,172.79,112.5,414.82,57.13,917.12,669.71,163.94,174.9,165.97,1560,785,820,3165,198,177,23,327,4,730,909,1362,2147,160,355,1496,1052,296,785,1696,450,199,46.34,55.54,70.92,64,67,67,3223.88,2345,2381.85,385,24.87,37.46,37.52,160.07,162,157.38,1702.36,158.61,113.38,423.58,58.02,930.53,678.88,151.13,158,150.51,1540,823,956,3319,131,175,18,347,5,816,889,1409,2232,172,371,1546,1338,289,801,1806,384,173,48.85,48.26,61.5,50,31,50,3268.2,2363,2339.45,386,25.19,33.49,33.49,150.3,149.57,145.81
"WPG",2024,"WPG","WPG","Team Level","5on5",55,0.52,0.49,0.5,166300,1389.39,115.95,87.17,353.88,46.62,746.71,563.66,110.99,118.05,113.02,1257,657,707,2621,116,145,17,285,4,596,768,1141,1798,147,329,1196,1000,258,705,1452,341,121,38.68,41.8,35.46,51,45,20,2679.88,1914,1950.85,344,18.09,29.97,30.03,104,105.94,103.76,1360.63,105.79,86.03,352.25,46.44,750.46,558.04,101.84,105.18,101.21,1226,673,788,2687,81,129,15,298,5,666,720,1145,1818,153,333,1222,1263,254,728,1495,309,95,40.49,39.02,26.28,39,26,16,2636.2,1899,1875.45,360,17.8,24.86,24.86,98.74,97.99,96.24
"WPG",2024,"WPG","WPG","Team Level","4on5",55,0.11,0.09,0.11,13159,28.39,3.35,1.53,3.63,0.87,8.37,18.25,3.29,3.35,3.29,27,9,3,39,1,1,0,1,0,8,25,26,35,6,12,106,24,21,24,19,12,5,0.46,1.64,1.25,0,1,0,39,36,36,22,0.35,0.15,0.15,3.55,3.55,3.51,212.69,28.13,18.99,48.27,7.31,121.07,64.24,26.42,28.13,26.42,185,103,113,401,27,30,0,34,0,97,100,158,261,13,26,151,16,8,35,203,43,42,4.75,5.13,18.25,7,3,17,401,288,288,0,5.1,4.41,4.41,28.82,28.82,28.07
"WPG",2024,"WPG","WPG","Team Level","5on4",55,0.9,0.85,0.83,13002,200.18,30.9,17.92,41.78,6.74,114.23,59.44,28.1,30.9,28.1,191,80,75,346,46,26,4,31,0,90,78,145,225,6,12,114,7,13,38,157,72,42,4.68,8.98,17.24,9,13,24,346,271,271,4,4.7,6,6,29.6,29.6,28.08,39.81,3.31,2,6.66,1.34,12.97,27.72,3.18,3.31,3.18,44,10,6,60,2,4,1,4,0,6,38,42,52,3,6,108,37,18,26,41,9,4,1.04,1.2,1.08,1,0,1,60,54,54,21,0.46,0.57,0.57,3.21,3.21,3.09
